title,price
კობი ბრაიანი-81 ამბავი,"10.36
            ₾"
საიეს მარნერი  ჯორჯ ელიოტი,"37.95
            ₾"
სამი რომანი ერთ წიგნად,"30.95
            ₾"
მარტინ იდენი - საკოლექციო,"14.95
            ₾"
ოთარ ქორქია-სერია ლეგენდები,"11.95
            ₾"
"მოთხრობები, პიესები","24.95
            ₾"
ძვირფასო იჯაველე ანუ ფემინისტური მანიფესტი,"34.95
            ₾"
ჯან ლუიჯი ბუფონი-სერია ლეგენდები,"11.95
            ₾"
ალესანდრო დელპიერო-სერია ლეგენდები,"11.95
            ₾"
გიორგი ნიკოლაძე-სერია ლეგენდები,"11.95
            ₾"
ლიონელ მესი-სერია ლეგენდები,"11.95
            ₾"
ვიქტორ სანეევი-სერია ლეგენდები,"11.95
            ₾"
ანი ერნო - ქალი,"11.95
            ₾"
როდესაც ნიცშე ატირდა,"35
            ₾"
მშვიდობით გაბო და მერსედეს როდრგო გარსია,"26.95
            ₾"
ძაღლი და კატა - ვეტერინალური დაავადებების ცნობარი,"30
            ₾"
მომო,"24
            ₾"
ოკუპაციიდან დამოუკიდებლობამდე 1921 - 1991,"19.95
            ₾"
ნოემბრის წვიმა და სხვა,"24.95
            ₾"
რონალდო- სერია ლეგენდები,"11.95
            ₾"
პეპე გვარდიოლა-სერია ლეგენდები,"11.95
            ₾"
ორი საბანი,"24.95
            ₾"
რა მიამბო მთვარემ,"18
            ₾"
იკითხე ქართული XXI - მეამბოხე,"14.95
            ₾"
ძაღლი და კატა - ვეტერინალური დაავადებების ცნობარი,"30
            ₾"
ოკუპაციიდან დამოუკიდებლობამდე 1921 - 1991,"19.95
            ₾"
მომო,"24
            ₾"
დავით ყიფიანი-სერია ლეგენდები,"11.95
            ₾"
ნოემბრის წვიმა და სხვა,"24.95
            ₾"
პეპე გვარდიოლა-სერია ლეგენდები,"11.95
            ₾"
მე გადმოვცურავ ზღვას,"14.95
            ₾"
რა მიამბო მთვარემ,"18
            ₾"
მე ვარ ლენი ბრაუნი,"12.95
            ₾"
ილუზიების მატარებელი,"15
            ₾"
იაპონური მოთხრობები,"9.95
            ₾"
სპარსული წერილები,"11.9
            ₾"
ეგებ ოდესმე,"16.95
            ₾"
დეიზი ჯოუნსი და ექვსეული,"16.95
            ₾"
ჩემი ადამიანი,"11.95
            ₾"
ბრენდა რალფ ლუისი - ჩერჩილი,"23.95
            ₾"
ვიბრამები,"15
            ₾"
ადამიანის ორგანიზმი ქრისტინა პარაბონი,"34.95
            ₾"
შენთვის და შენზე,"15
            ₾"
მაკბეტი უილიამ შექსპირი,"29.95
            ₾"
ქართული დიპლომატია - წელიწდეული 20 ტომი,"20
            ₾"
აკადემია-რატომ ვერ აღწევენ წარმატებას სახელმწიფოები,"29.9
            ₾"
7 მე მიყვარს კითხვა - ზღაპრად ქცეული ამბები,"7.9
            ₾"
ავსულნი,"30.9
            ₾"
"ფილოსოფია ,ხელოვნება","10
            ₾"
პლანეტა დედამიწა,"27.97
            ₾"
მხიარული მატარებელი და სხვა ამბები,"15.95
            ₾"
7 მე მიყვარს კითხვა - ქარიფანტია დღიური,"6.9
            ₾"
ასა ჰელი მოგზაურის ქრონიკები,"26.95
            ₾"
8 მე მიყვარს კითხვა -სოფის ფათერაკები,"8.9
            ₾"
მკვდარი სახლის ჩანაწერები,"11.9
            ₾"
ფილოსოფია,"20
            ₾"
ეგოიზმი ფილოსოფიაში2024,"12
            ₾"
სალამურას თავგადასავალი,"26.9
            ₾"
მუსიკა ამბოხის სირცხვილისა და მითვისების ისტორია,"37.9
            ₾"
ახალგაზედა მკითხველისთვის-ყვავილები ელჯერნონისთვის,"14.9
            ₾"
აკადემია-რატომ ვერ აღწევენ წარმატებას სახელმწიფოები,"29.9
            ₾"
ტალღა,"13.9
            ₾"
თეთრი დათვი და მურა დათვი,"15.95
            ₾"
ბიჭი ზოლიან პიჟამაში,"13.9
            ₾"
არგონავტები,"20.9
            ₾"
სახლი მანგოს ქუჩაზე,"12.9
            ₾"
ავსულნი,"30.9
            ₾"
ტანჟერული სიზმარი,"22.9
            ₾"
FULLMETAL ALCHEMIST 08,"25.99
            ₾"
NARUTO 11,"29.99
            ₾"
ONE PIECE VOL. 18,"25.99
            ₾"
ONE-PUNCH MAN VOL. 06,"25.99
            ₾"
ONE PIECE OMNIBUS VOL. 11,"49.95
            ₾"
NARUTO 18,"25.99
            ₾"
ONE PIECE VOL. 18,"25.99
            ₾"
ONE PIECE VOL. 13,"29.99
            ₾"
NARUTO 11,"29.99
            ₾"
ONE-PUNCH MAN VOL. 06,"25.99
            ₾"
death note manga 8,"25.99
            ₾"
SPY X FAMILY VOL. 5,"25.99
            ₾"
FULLMETAL ALCHEMIST 10,"25.99
            ₾"
A Thousand Boy Kisses,"33.99
            ₾"
NARUTO 09,"25.99
            ₾"
NARUTO 19,"25.99
            ₾"
NARUTO 12,"25.99
            ₾"
BLEACH 07,"25.99
            ₾"
FULLMETAL ALCHEMIST 08,"25.99
            ₾"
SPY X FAMILY VOL. 3,"25.99
            ₾"
NARUTO 14,"25.99
            ₾"
CHAINSAW MAN VOL. 05,"25.99
            ₾"
NARUTO 15,"25.99
            ₾"
NARUTO 04,"29.99
            ₾"
ONE PIECE VOL. 19,"25.99
            ₾"
ONE-PUNCH MAN VOL. 03,"25.99
            ₾"
ONE-PUNCH MAN VOL. 07,"25.99
            ₾"
ONE PIECE: ACE'S STORY V2,"25.99
            ₾"
FULLMETAL ALCHEMIST 08,"25.99
            ₾"
NARUTO 19,"25.99
            ₾"
ONE PIECE VOL. 19,"25.99
            ₾"
FULLMETAL ALCHEMIST 04,"25.99
            ₾"
ONE-PUNCH MAN VOL. 03,"25.99
            ₾"
CINSAW MAN VOL. 06,"29.99
            ₾"
ONE PIECE OMNIBUS VOL. 11,"49.95
            ₾"
ONE-PUNCH MAN VOL. 05,"25.99
            ₾"
ONE PIECE: ACE'S STORY V2,"25.99
            ₾"
NARUTO 15,"25.99
            ₾"
CHAINSAW MAN VOL. 11,"25.99
            ₾"
Little Book of Dior,"61.99
            ₾"
I am Strong,"34.95
            ₾"
WEIGHT OF OUR SKY,"25.99
            ₾"
The Girl You Left Behind,"36.95
            ₾"
The Power of Habit,"45.99
            ₾"
LOOK BACK,"35.95
            ₾"
Men Without,"36.95
            ₾"
Ikigai,"39.99
            ₾"
I'M GLAD MY MOM DIED,"59
            ₾"
KISS THE GIRLS AND MAKE THEM,"25.95
            ₾"
"ირაკლი მეფე ჩარკვიანი ""რჩეული""","29.9
            ₾"
CAT KID CC :ON PURPOSE,"35.99
            ₾"
PELE THE AUTOBIOGRAPHY,"29.99
            ₾"
